"","subject","activity","variable","value"
"1",1,"WALKING","meantBodyAccelerometerMeanX",0.265696920582133
"2",1,"WALKING","meantBodyAccelerometerMeanY",-0.0182981725176081
"3",1,"WALKING","meantBodyAccelerometerMeanZ",-0.10784573454611
"4",1,"WALKING","meantBodyAccelerometerStdevX",-0.545795331328326
"5",1,"WALKING","meantBodyAccelerometerStdevY",-0.367716218227378
"6",1,"WALKING","meantBodyAccelerometerStdevZ",-0.502645746562824
"7",1,"WALKING","meantGravityAccelerometerMeanX",0.744867411573487
"8",1,"WALKING","meantGravityAccelerometerMeanY",-0.0825562579855908
"9",1,"WALKING","meantGravityAccelerometerMeanZ",0.072339870389049
"10",1,"WALKING","meantGravityAccelerometerStdevX",-0.959859435936599
"11",1,"WALKING","meantGravityAccelerometerStdevY",-0.951150627458213
"12",1,"WALKING","meantGravityAccelerometerStdevZ",-0.925817590867435
"13",1,"WALKING","meantBodyAccelerometerJerkMeanX",0.0770930495126801
"14",1,"WALKING","meantBodyAccelerometerJerkMeanY",0.0165908438802305
"15",1,"WALKING","meantBodyAccelerometerJerkMeanZ",-0.00910758730117003
"16",1,"WALKING","meantBodyAccelerometerJerkStdevX",-0.524721922818732
"17",1,"WALKING","meantBodyAccelerometerJerkStdevY",-0.470412403511239
"18",1,"WALKING","meantBodyAccelerometerJerkStdevZ",-0.717322274881844
"19",1,"WALKING","meantBodyGyroscopeMeanX",-0.0208764064320173
"20",1,"WALKING","meantBodyGyroscopeMeanY",-0.0880722729400576
"21",1,"WALKING","meantBodyGyroscopeMeanZ",0.0862641666597983
"22",1,"WALKING","meantBodyGyroscopeStdevX",-0.686555715201729
"23",1,"WALKING","meantBodyGyroscopeStdevY",-0.450979810499568
"24",1,"WALKING","meantBodyGyroscopeStdevZ",-0.597496136795101
"25",1,"WALKING","meantBodyGyroscopeJerkMeanX",-0.0971120197265994
"26",1,"WALKING","meantBodyGyroscopeJerkMeanY",-0.0417164808293948
"27",1,"WALKING","meantBodyGyroscopeJerkMeanZ",-0.0471393985477522
"28",1,"WALKING","meantBodyGyroscopeJerkStdevX",-0.637812687210375
"29",1,"WALKING","meantBodyGyroscopeJerkStdevY",-0.634472244550432
"30",1,"WALKING","meantBodyGyroscopeJerkStdevZ",-0.664591977786455
"31",1,"WALKING","meantBodyAccelerometerMagnitudeMean",-0.453632943768818
